timestamp,text
0.09,
0.54,
4.279,thank you very much thank you thank you
6.68,very much and I'm delighted to be here
8.88,at the faith and
10.84,Freedom coalition's Road to majority
14.12,what a big deal that is road to the
16.84,majority conference it's a big uh event
19.92,and there's a lot of people outside
21.279,wanting to get in if anyone would like
23.119,to give up their
25.039,location please raise your hand
28.599,immediately this is my ninth time
30.96,speaking at this event and I would not
32.96,miss it for anything you know we have a
34.84,big rally tonight in Philadelphia and so
37.36,somebody said they got a little bit
39.2,confused and they had me speaking here
40.879,and there so somebody foolishly
44.2,cancelled here and when I heard about it
47.239,I said wait a minute what are you doing
50.0,we cancelled faith and freedom I said I
52.92,don't have the courage to do that I'll
54.8,do it during the day which is actually
57.32,even better if you want to know the
58.84,truth and we'll do the rally
61.12,later I don't have the courage to do
65.28,that not to you and not to Ral
69.0,Reed but I want to thank Ralph Reed for
71.56,his extraordinary leadership along with
73.64,executive director Tim head great people
77.159,thanks also to Congressman he's
79.68,fantastic Barry Loudermilk he's here
83.119,someplace he here some place he's doing
86.0,a fantastic job with all of the things I
88.479,said he walked through with Russian
90.28,spies or something like that you turn
93.479,out to be constituents young children oh
96.439,these people are sick former congressman
99.92,and a man who's heading up New York for
101.84,us Lee Elden he's fantastic LEE
107.36,Elden South Dakota governor Christy
110.64,gnome
113.36,Christie thank you chrisy great thank
116.079,you Dary RNC chairman Micha wattley he's
120.759,doing a great
123.439,job although I'll tell you about that
125.719,right after the fifth I'll tell you
127.159,about the
128.16,sixth but I think he will be incredible
130.679,he comes from uh good stock comes from
134.16,North Carolina and they didn't have they
137.04,didn't have any vote stolen in North
138.879,Carolina that's why I said he's the guy
140.84,he watched that voter fraud more than
142.64,anybody a friend of mine a man who got
144.4,me involved in this whole deal not this
147.0,one I mean like eight years ago he
149.16,thought uh we could do something and we
151.879,played around with it and I said one day
153.84,let's go Corey let's go let's do it
156.2,Corey
157.959,lowski thank you Corey thank you he's a
161.36,good
163.12,man Dr alv King who's a friend of mine
167.12,for a long time I can't see where his
