id,timestamp,duration,context,current_text
qqG96G8YdcE_1400,1.4,3.879,we're live from Georgia a key Battleground state in the race for the White House in just moments the current,we're live from Georgia a key
qqG96G8YdcE_3399,3.399,4.121,we're live from Georgia a key Battleground state in the race for the White House in just moments the current US president will debate the former US,Battleground state in the race for the
qqG96G8YdcE_5279,5.279,5.28,we're live from Georgia a key Battleground state in the race for the White House in just moments the current US president will debate the former US presidents as their party's presumptive,White House in just moments the current
qqG96G8YdcE_7520,7.52,5.64,Battleground state in the race for the White House in just moments the current US president will debate the former US presidents as their party's presumptive nominees a first in American history we,US president will debate the former US
qqG96G8YdcE_10559,10.559,6.161,White House in just moments the current US president will debate the former US presidents as their party's presumptive nominees a first in American history we want to welcome our viewers in the,presidents as their party's presumptive
qqG96G8YdcE_13160,13.16,5.119,US president will debate the former US presidents as their party's presumptive nominees a first in American history we want to welcome our viewers in the United States and around the world to,nominees a first in American history we
qqG96G8YdcE_16720,16.72,3.639,presidents as their party's presumptive nominees a first in American history we want to welcome our viewers in the United States and around the world to our studios in Atlanta this is the CNN,want to welcome our viewers in the
qqG96G8YdcE_18279,18.279,5.801,nominees a first in American history we want to welcome our viewers in the United States and around the world to our studios in Atlanta this is the CNN presidential,United States and around the world to
qqG96G8YdcE_20359,20.359,4.961,want to welcome our viewers in the United States and around the world to our studios in Atlanta this is the CNN presidential debate this debate is being produced by,our studios in Atlanta this is the CNN
qqG96G8YdcE_24080,24.08,4.119,United States and around the world to our studios in Atlanta this is the CNN presidential debate this debate is being produced by CNN and is coming to you live live on,presidential
qqG96G8YdcE_25320,25.32,5.16,our studios in Atlanta this is the CNN presidential debate this debate is being produced by CNN and is coming to you live live on CNN CNN International CNN.com CNN Max,debate this debate is being produced by
qqG96G8YdcE_28199,28.199,6.88,presidential debate this debate is being produced by CNN and is coming to you live live on CNN CNN International CNN.com CNN Max and CNN espanol this is a pivotal moment,CNN and is coming to you live live on
qqG96G8YdcE_30480,30.48,8.48,debate this debate is being produced by CNN and is coming to you live live on CNN CNN International CNN.com CNN Max and CNN espanol this is a pivotal moment between President Joe Biden and former,CNN CNN International CNN.com CNN Max
qqG96G8YdcE_35079,35.079,5.96,CNN and is coming to you live live on CNN CNN International CNN.com CNN Max and CNN espanol this is a pivotal moment between President Joe Biden and former president Donald Trump in their rematch,and CNN espanol this is a pivotal moment
qqG96G8YdcE_38960,38.96,4.2,CNN CNN International CNN.com CNN Max and CNN espanol this is a pivotal moment between President Joe Biden and former president Donald Trump in their rematch for the nation's highest office each,between President Joe Biden and former
qqG96G8YdcE_41039,41.039,4.721,and CNN espanol this is a pivotal moment between President Joe Biden and former president Donald Trump in their rematch for the nation's highest office each will make his case to the American,president Donald Trump in their rematch
qqG96G8YdcE_43160,43.16,4.36,between President Joe Biden and former president Donald Trump in their rematch for the nation's highest office each will make his case to the American people with just over four months until,for the nation's highest office each
qqG96G8YdcE_45760,45.76,4.279,president Donald Trump in their rematch for the nation's highest office each will make his case to the American people with just over four months until election day good evening I'm Dana Bash,will make his case to the American
qqG96G8YdcE_47520,47.52,5.76,for the nation's highest office each will make his case to the American people with just over four months until election day good evening I'm Dana Bash anchor of CNN's inside politics and,people with just over four months until
qqG96G8YdcE_50039,50.039,5.52,will make his case to the American people with just over four months until election day good evening I'm Dana Bash anchor of CNN's inside politics and co-anchor of State of the Union I'm Jake,election day good evening I'm Dana Bash
qqG96G8YdcE_53280,53.28,4.48,people with just over four months until election day good evening I'm Dana Bash anchor of CNN's inside politics and co-anchor of State of the Union I'm Jake Tapper anchor of CNN's the lead and,anchor of CNN's inside politics and
qqG96G8YdcE_55559,55.559,4.441,election day good evening I'm Dana Bash anchor of CNN's inside politics and co-anchor of State of the Union I'm Jake Tapper anchor of CNN's the lead and co-anchor of State of the Union Dana and,co-anchor of State of the Union I'm Jake
qqG96G8YdcE_57760,57.76,4.279,anchor of CNN's inside politics and co-anchor of State of the Union I'm Jake Tapper anchor of CNN's the lead and co-anchor of State of the Union Dana and I will co-moderate this evening our job,Tapper anchor of CNN's the lead and
qqG96G8YdcE_60000,60.0,4.439,co-anchor of State of the Union I'm Jake Tapper anchor of CNN's the lead and co-anchor of State of the Union Dana and I will co-moderate this evening our job is to facilitate a debate between the,co-anchor of State of the Union Dana and
qqG96G8YdcE_62039,62.039,5.561,Tapper anchor of CNN's the lead and co-anchor of State of the Union Dana and I will co-moderate this evening our job is to facilitate a debate between the two candidates tonight before we,I will co-moderate this evening our job
qqG96G8YdcE_64438,64.439,5.241,co-anchor of State of the Union Dana and I will co-moderate this evening our job is to facilitate a debate between the two candidates tonight before we introduce them we want to share the,is to facilitate a debate between the
qqG96G8YdcE_67600,67.6,3.44,I will co-moderate this evening our job is to facilitate a debate between the two candidates tonight before we introduce them we want to share the rules of the debate with the audience at,two candidates tonight before we
qqG96G8YdcE_69680,69.68,3.24,is to facilitate a debate between the two candidates tonight before we introduce them we want to share the rules of the debate with the audience at home former president Trump will be on,introduce them we want to share the
qqG96G8YdcE_71040,71.04,3.96,two candidates tonight before we introduce them we want to share the rules of the debate with the audience at home former president Trump will be on the left side of the screen President,rules of the debate with the audience at
qqG96G8YdcE_72920,72.92,4.08,introduce them we want to share the rules of the debate with the audience at home former president Trump will be on the left side of the screen President Biden will be appearing on the right a,home former president Trump will be on
qqG96G8YdcE_75000,75.0,4.0,rules of the debate with the audience at home former president Trump will be on the left side of the screen President Biden will be appearing on the right a coin toss determined their positions,the left side of the screen President
