Original Sentence,Extracted Claim,Confidence Score
Mr Speaker the president's cabinet,Mr Speaker the president's cabinet,6.022172237862833e-05
e,e,3.545481419564567e-08
e w,e w,1.7681000485936238e-07
e e,e e,1.1829301911348011e-06
e e,e e,1.1829301911348011e-06
e Mr Speaker the president of the United,president of the United,0.0004479145572986454
States,States,5.315070339406702e-08
come,come,4.787224838764814e-08
w,w,3.059036046693109e-08
more more more more,more more more more,2.183749302275828e-06
more   yeah,yeah,1.466039157094201e-05
e  for,e ,3.8856737774040084e-06
time    Tony,Tony,0.0005445446586236358
the good evening good evening if I were smart I go home  now Mr Speaker Madame vice president members of Congress my fellow Americans in January 1941 Franklin Roosevelt came to this chamber to speak to the nation and he said I address you at a moment unprecedented in the history of the Union Hitler was on the March war was,I address you at a moment unprecedented in the history of the Union,0.19617269933223724
raging in Europe president rosell's purpose was to wake up Congress and alert the American people that this was no ordinary time freedom and democracy we're under assault in the world tonight I come to this same chamber to address the nation now it's we who face unprecedented moment in the history of the union and yes my purpose tonight is to wake up the Congress and alert the American people that this is no ordinary moment either not since President Lincoln and the Civil War have freedom and democracy been underall at home as they are today what makes our moment rare is that freedom of democracy are under attack at both at home and overseas at the very same time overseas Putin of Russia is on the March invading Ukraine and sewing chaos throughout Europe and Beyond if anybody in this room thinks,freedom of democracy are under attack,0.0071012345142662525
Putin will stop at Ukraine I assure you he will not but Ukraine Ukraine can stop Putin Ukraine can stop Putin if we stand with Ukraine and provide the weapons that needs to defend itself that is all that is all Ukraine is asking they're not asking for American soldiers in fact there are no American soldiers at war in Ukraine and I'm determined to keep it that way but now assistance Ukraine is being blocked by those who want to walk away from our world leadership wasn't long ago when a,they're not asking for American soldiers,0.010965686291456223
Republican president named Ronald Reagan thundered Mr gorbachov tear down this wall now now my pressor a former Republican president tells Putin quote do whatever that hell you want that's a quote a former president actually said that bowing down to a Russian leader I think it's outrageous it's dangerous and it's unacceptable America is a founding member of NATO the military Alliance of democratic nations created after World War II prevent to prevent war and keep the,bowing down to a Russian leader,0.1501816064119339
peace and today we've made NATO stronger than ever welcome Finland to the alliance last year and just this morning Sweden officially joined and their ministers here tonight stand up welcome welcome welcome welcome and they know how to fight Mr Prime Minister welcome to Nato the strongest military Alliance the world has ever seen I say this to Congress we have to stand up to Putin send me a bipartisan National Security Bill history is literally watching history is watching the United States walks away it will put Ukraine at risk Europe is at,Mr Prime Minister welcome to Nato the strongest military Alliance the world has ever seen,0.014743193052709103
risk the Free World be at risk EMB Bolding others to do what they wish to do us harm my message to President Putin who I've known for a long time is simple we will not walk away we will not bow down I will not bow down in a literal sense history is watching history is watching just like history watched three years ago on January 6th when Insurrection stormed this very capital and placed a dager at the throat of American democracy many of you are here on that darkest of days we all saw with our own eyes the insurrectionists were not Patriots they' come to stop the peaceful transfer,Bolding others to do what they wish to do us harm,0.009237176738679409
